layer,target,probe_type,score,cv_score,ci_lower,ci_upper,train_size,test_size
21,relevance_label,ridge,0.274822,0.268358,0.141,0.384691,4800,1200
22,lexical_overlap,ridge,0.430512,0.339667,0.386166,0.470121,4800,1200
22,query_term_freq,ridge,0.397419,0.377341,0.338785,0.448136,4800,1200
22,bm25_score,ridge,0.710813,0.685263,0.675812,0.74095,4800,1200
22,bm25_rank,ridge,0.068691,0.088566,0.017397,0.118559,4800,1200
22,doc_length_bucket,logistic,0.991216,0.990056,0.987416,0.994411,4800,1200
22,is_relevant,logistic,0.97062,0.9548,0.955102,0.983706,4800,1200
22,relevance_label,ridge,0.279926,0.303984,0.128343,0.390986,4800,1200
23,lexical_overlap,ridge,0.402891,0.273871,0.357172,0.444214,4800,1200
23,query_term_freq,ridge,0.353148,0.338608,0.30064,0.40124,4800,1200
23,bm25_score,ridge,0.676429,0.640802,0.640994,0.705709,4800,1200
23,bm25_rank,ridge,0.068559,0.099052,0.016717,0.115643,4800,1200
23,doc_length_bucket,logistic,0.992166,0.989943,0.988464,0.995362,4800,1200
23,is_relevant,logistic,0.969148,0.952353,0.95359,0.984423,4800,1200
23,relevance_label,ridge,0.268289,0.353583,0.114621,0.399949,4800,1200
24,lexical_overlap,ridge,0.398535,0.316713,0.354723,0.442696,4800,1200
24,query_term_freq,ridge,0.351969,0.342626,0.30087,0.39818,4800,1200
24,bm25_score,ridge,0.680691,0.633103,0.644233,0.712959,4800,1200
24,bm25_rank,ridge,0.061061,0.04632,0.008305,0.108833,4800,1200
24,doc_length_bucket,logistic,0.99248,0.990602,0.988737,0.995659,4800,1200
24,is_relevant,logistic,0.970301,0.955103,0.954956,0.983741,4800,1200
24,relevance_label,ridge,0.270885,0.347688,0.120322,0.383739,4800,1200
25,lexical_overlap,ridge,0.400479,0.336677,0.345395,0.448177,4800,1200
25,query_term_freq,ridge,0.355728,0.313033,0.308525,0.39672,4800,1200
25,bm25_score,ridge,0.674643,0.533376,0.638854,0.704657,4800,1200
25,bm25_rank,ridge,0.067343,0.106357,0.012634,0.115582,4800,1200
25,doc_length_bucket,logistic,0.990572,0.990194,0.985681,0.994581,4800,1200
25,is_relevant,logistic,0.970301,0.954871,0.954697,0.983351,4800,1200
25,relevance_label,ridge,0.269687,0.297246,0.125962,0.388242,4800,1200
26,lexical_overlap,ridge,0.433916,0.386467,0.390392,0.475087,4800,1200
26,query_term_freq,ridge,0.422868,0.234823,0.373384,0.464679,4800,1200
26,bm25_score,ridge,0.695852,0.514057,0.661522,0.726706,4800,1200
26,bm25_rank,ridge,0.052598,0.080279,0.002755,0.102733,4800,1200
26,doc_length_bucket,logistic,0.989211,0.988783,0.984468,0.993091,4800,1200
26,is_relevant,logistic,0.969538,0.95704,0.955076,0.983294,4800,1200
26,relevance_label,ridge,0.248394,0.342725,0.089543,0.368695,4800,1200
27,lexical_overlap,ridge,0.429696,0.415021,0.382284,0.469445,4800,1200
27,query_term_freq,ridge,0.427627,0.364271,0.382118,0.470924,4800,1200
27,bm25_score,ridge,0.707941,0.49583,0.677476,0.737257,4800,1200
27,bm25_rank,ridge,0.04008,0.007614,-0.017532,0.089727,4800,1200
27,doc_length_bucket,logistic,0.9897,0.99034,0.985179,0.993814,4800,1200
27,is_relevant,logistic,0.965815,0.94956,0.94801,0.981149,4800,1200
27,relevance_label,ridge,0.252412,0.348179,0.093287,0.37856,4800,1200
